timestep,ndvi,wtd
64,5621.24919097222,-4.87515316003005
65,5219.60305138889,-4.89218639173547
66,4900.88924305556,-4.91196863914293
67,4884.75792777778,-4.90113141307416
68,5149.19238958333,-4.87740341218308
69,5518.00408194445,-4.87767438239685
70,5812.87822638889,-4.86855608637629
71,5896.4937875,-4.87451455657612
72,5831.54028263889,-4.86105672868812
73,5810.62429513889,-4.84983321537627
74,5819.05474236111,-4.85661656298662
75,5819.25695138889,-4.87447680779424
76,5615.06106319445,-4.87618894167479
77,5183.68933055556,-4.90077860708658
78,4844.49844097222,-4.84918911411513
79,4839.89894722222,-4.83492043206988
80,5084.93688958333,-4.87488118510754
81,5428.14683125,-4.87604583715038
82,5721.17990208333,-4.91927949020997
83,5835.59152013889,-4.90149848327585
84,5775.44770555556,-4.89353470269552
85,5755.18869652778,-4.9041931638625
86,5801.87425972222,-4.9351835630134
87,5835.38585347222,-4.92462774153426
88,5685.30174444444,-4.94424432657164
89,5384.1779875,-4.91905003325076
90,5108.70313958333,-4.90804229164733
91,5039.70378194444,-4.91252185857956
92,5239.80754027778,-4.9067867566077
93,5554.80331041667,-4.89105162321508
94,5794.44699375,-4.92272166375375
95,5851.40430069445,-4.92920532123007
96,5777.78862291667,-4.93786421044016
97,5765.52524375,-4.9183609707011
98,5808.79920416667,-4.92363359996598
99,5832.02122638889,-4.89631629298447
100,5697.70829583333,-4.8829344663207
101,5397.40562430556,-4.85981877572314
102,5066.67419513889,-4.86841299025677
103,4970.63592569444,-4.89322015969306
104,5206.06410694445,-4.88244158487762
105,5583.27366736111,-4.88222877458081
106,5860.45025416667,-4.8896835660414
107,5924.04194722222,-4.90925215784244
108,5806.91732708333,-4.92634890432876
109,5767.77741041667,-4.90936070635816
110,5851.97296388889,-4.86783240477881
111,5906.74962708333,-4.87210944693566
112,5738.04934791667,-4.89981463644603
113,5338.67835,-4.83694659751858
114,4943.31546805556,-4.83688834263993
115,4799.15645069444,-4.79985775621944
116,4974.60908888889,-4.85549655519868
117,5284.88017291667,-4.87648076269415
118,5617.28215277778,-4.89645142083568
119,5763.09246458333,-4.86559752127072
120,5718.57127291667,-4.8590669237204
121,5734.12389930556,-4.87405128208416
122,5806.99585416667,-4.86148992537442
123,5835.52415972222,-4.85032938674211
124,5660.51439583333,-4.84409267408833
125,5305.61386944444,-4.87644250471649
126,4973.80976111111,-4.87857929907182
127,4917.62903888889,-4.84750294648672
128,5173.42418680556,-4.85835991935801
129,5501.31162847222,-4.8331099600146
130,5741.18535763889,-4.82752954368942
131,5815.81261388889,-4.82919944678164
132,5766.75843055556,-4.86740830572998
133,5772.48693819444,-4.87198716803682
134,5816.04705902778,-4.86746666376059
135,5840.4188875,-4.8791670422823
136,5675.79472777778,-4.90478852677655
137,5339.36404791667,-4.91394555646625
138,5014.90509027778,-4.89901895773965
139,4938.06365486111,-4.88555889919483
140,5118.47722569444,-4.89837732327292
141,5430.01496944444,-4.875560282506
142,5680.88236736111,-4.8608598526713
143,5735.23791666667,-4.82347427419153
144,5676.94202222222,-4.84859795394897
145,5661.79935694444,-4.852627403991
146,5743.91230277778,-4.85997151288304
147,5799.90698819444,-4.85650241114292
148,5617.02992430556,-4.87946122472774
149,5204.51714513889,-4.85715208831829
150,4898.79381597222,-4.89149991447533
151,4908.85885277778,-4.88558613996298
152,5200.11382986111,-4.8923068395264
153,5573.92943958333,-4.86970978076914
154,5820.70995416667,-4.87041749101327
155,5854.98638194444,-4.88988688386936
156,5748.63649097222,-4.89636719699787
157,5779.20965,-4.87337635713494
158,5866.89524236111,-4.91226221566846
159,5885.77729097222,-4.91943573360565
160,5697.92549236111,-4.91297862510589
161,5348.71551666667,-4.88726079551021
162,5031.55769861111,-4.88466869819156
163,5010.77867638889,-4.85727744866189
164,5272.88835902778,-4.86932229604152
165,5566.54176944444,-4.8620699054188
166,5785.06693333333,-4.8351868537773
167,5859.94014513889,-4.84246954541856
168,5811.51932916667,-4.85361384171019
169,5815.71400694444,-4.84873974509845
170,5857.08703472222,-4.85437074180879
171,5880.49326805556,-4.84775570229474
172,5729.16034791667,-4.83149760993467
173,5437.35862083333,-4.85915619862754
174,5152.22851458333,-4.87749660389006
175,5074.33951944445,-4.89576665646558
176,5222.29707361111,-4.87661525261903
177,5504.00118125,-4.85098124856986
178,5720.01900555556,-4.84818260891732
179,5759.63338263889,-4.83380889472375
180,5710.01522430556,-4.86345737335741
181,5708.70777222222,-4.88011601544603
182,5814.84686319444,-4.86647027021097
183,5908.05644166667,-4.86414374108498
